PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RUN AREA,PASS ZONE,GN/LS,RESULT,OFF FORM,OFF PLAY,comments,DEF FRONT,S ALIGN,COVERAGE,BLITZ,comments2,QTR,OPP TEAM
150,O,1,10,R,-25,Run,B-R QB,,-2,Rush,TRIO,A NOW,,42,1HI,24,,,,University of La Verne
206,O,1,10,R,49,Run,P-L,,2,Rush,TRIO,A NOW,,42,1HI,3ROLL,,,,University of La Verne
48,O,1,10,L,-41,Run,P-R,,0,Rush,TRIO,A NOW,,41,2HI,C1,,,,Whittier College
195,O,1,10,R,-17,Run,C-L,,4,Rush,TRIO,A NOW,,42,2HI,C1,5I,,,Whittier College
4,O,1,10,R,-49,Run,C-R,,17,Rush,DOUBLES,A1,EXP,42,2HI,C4,5I,,1,George Fox University
102,O,2,1,R,-21,Run,C-R,,7,Rush,DOUBLES,A1,,42,2HI,3ROLL,,,2,George Fox University
107,O,3,1,R,48,Run,P-L,,1,Rush,DOUBLES,A1,,42,2HI,C2,,,2,George Fox University
184,O,1,10,R,-14,Pass,,3,4,Complete,DOUBLES,A1,,42,2HI,ZERO,5I,,4,George Fox University
40,O,1,10,R,-41,Run,P-R,,3,Rush,DOUBLES,A1,,42,2HI,C3,4R,,,University of Puget Sound
50,O,1,10,R,-28,Run,B-L,,0,Rush,DOUBLES,A1,,42,2HI,C4,,,,University of Puget Sound
20,O,1,10,R,-41,Run,P-L,,4,Rush,DOUBLES,A1,,33,1HI,C3,5I,,,Pacific Lutheran University
70,O,2,6,R,-47,Run,P-L,,9,Rush,DOUBLES,A1,,33,1HI,C3,6I,,,Pacific Lutheran University
187,O,2,1,R,-32,Run,C-R,,4,Rush,DOUBLES,A1,,33,1HI,C3,6I,,,Pacific Lutheran University
188,O,1,10,R,-36,Run,P-L,,5,Rush,DOUBLES,A1,,33,1HI,C3,5L,,,Pacific Lutheran University
30,O,1,10,R,28,Pass,,3,4,Complete,DOUBLES,A1,,33,2HI,24,,,,Pacific University
135,O,1,10,R,25,Run,C-R,,2,Rush,DOUBLES,A1,,33,2HI,C1,,,,Pacific University
153,O,1,10,R,-21,Pass,,3,4,Complete,DOUBLES,A1,,33,2HI,24,,,,Pacific University
159,O,1,10,R,21,Run,P-L,,5,Rush,DOUBLES,A1,,33,2HI,24,,,,Pacific University
175,O,1,10,R,-8,Run,P-L,,3,Rush,DOUBLES,A1,,33,2HI,C2,,,,Pacific University
184,O,3,2,M,25,Pass,,3,5,Complete,DOUBLES,A1,,32,1HI,C1,6I,,,Pacific University
209,O,1,10,R,46,Run,P-L,,2,Rush,DOUBLES,A1,,32,2HI,24,,,,Pacific University
230,O,1,10,R,46,Run,B-L,,-1,Rush,DOUBLES,A1,,33,2HI,C1,,,,Pacific University
3,O,2,19,R,-1,Run,P-L,,0,Rush,DOUBLES,A1,,32,2HI,OVER,,,,Willamette University
26,O,2,1,R,-34,Pass,,3,4,Complete,DOUBLES,A1,,33,2HI,OVER,,,,Willamette University
114,O,1,10,R,39,Pass,,3,0,Incomplete,DOUBLES,A1,,42,2HI,OVER,,,,Willamette University
129,O,2,4,R,35,Run,P-L,,0,Rush,DOUBLES,A1,,42,2HI,C2,,,,Willamette University
140,O,1,10,R,32,Run,B-L,,2,Rush,DOUBLES,A1,,42,2HI,OVER,,,,Willamette University
168,O,1,10,L,-20,Run,P-R,,2,Rush,DOUBLES,A1,,52,2HI,ZERO,5L,,,Willamette University
114,O,1,10,,49,Pass,,,7,,DOUBLES,A1,,42,2HI,24,,,,Lewis & Clark College
156,O,1,10,,-39,Run,,,4,,DOUBLES,A1,,42,2HI,C2,,,,Lewis & Clark College
162,O,3,1,,28,Run,,,2,,DOUBLES,A1,,33,2HI,C2,4I,,,Lewis & Clark College
164,O,2,7,,23,Pass,,,3,,DOUBLES,A1,,33,2HI,C2,4I,,,Lewis & Clark College
2,O,1,10,,-25,Run,,,2,,TRIO,A1,,42,2HI,ROBBER,,,,Linfield College
136,O,1,10,,-25,Run,,,3,,DOUBLES,A1,,33,2HI,C2,,,,Linfield College
151,O,1,10,,34,Pass,,,0,,TRIO,A1,,31,2HI,C3,,,,Linfield College
157,O,1,9,,9,Run,,,3,,DOUBLES,A1,,33,2HI,C4,,,,Linfield College
183,O,2,12,,-20,Run,,,10,,DOUBLES,A1,,42,2HI,C2,,,,Linfield College
70,O,1,10,L,46,Pass,,1,4,Complete,DOUBLES,A1,,42,2HI,C4,,,,Chapman University
117,O,2,6,R,-23,Run,P-L,,1,Rush,DOUBLES,A1,,43,2HI,21,,,,Chapman University
103,O,1,10,L,11,Pass,,1,-5,Penalty,DOUBLES,A1,,42,0,C4,,,,University of La Verne
32,O,1,10,R,-22,Run,B-L,,5,Rush,DOUBLES,A1,,41,2HI,ZERO,,,,Whittier College
214,O,1,10,L,47,Run,C-L,,5,Rush,DOUBLES,A1,,42,2HI,OVER,,,,Whittier College
197,O,2,4,L,-41,Run,P-R,,8,Rush,DOUBLES,A2,,51,2HI,C1,6I,,4,George Fox University
217,O,1,10,R,-33,Run,B-R,,8,Rush,DOUBLES,A2,,42,2HI,C2,,,4,George Fox University
218,O,2,2,R,-41,Run,B-R,,3,Rush,DOUBLES,A2,,42,2HI,3ROLL,5L,,4,George Fox University
22,O,1,10,L,35,Run,B-L,,18,Rush,TRIO,A2,,70,0,ZERO,,,,University of Puget Sound
58,O,2,9,L,-26,Run,P-R,,3,Rush,DOUBLES,A2,,42,2HI,C3,,,,University of Puget Sound
186,O,1,10,R,-22,Run,P-R,,10,Rush,DOUBLES,A2,,33,1HI,C3,5L,,,Pacific Lutheran University
189,O,2,5,L,-41,Run,P-R,,0,Rush,DOUBLES,A2,,33,1HI,C3,,,,Pacific Lutheran University
25,O,2,3,M,-10,Run,P-L,,15,Rush,TRIO,A2,,33,2HI,C3,4R,,,Pacific University
79,O,1,10,M,-21,Run,C-R,,12,Rush,TRIO,A2,,33,2HI,C4,,,,Pacific University
131,O,1,10,L,-31,Run,C-R,,2,Rush,TRIO,A2,,33,1HI,C3,,,,Pacific University
154,O,2,6,R,-25,Run,P-R,,29,Rush,TRIO,A2,,34,2HI,2MAN,5I,,,Pacific University
160,O,2,5,R,16,Pass,,1,8,Complete,DOUBLES,A2,,33,2HI,2MAN,4L,,,Pacific University
177,O,1,10,M,-19,Pass,,1,6,Complete,DOUBLES,A2,,33,2HI,C4,,,,Pacific University
211,O,1,10,M,31,Run,B-R,,2,Rush,DOUBLES,A2,,33,2HI,C4,,,,Pacific University
214,O,2,3,M,10,Pass,,1,2,Complete,DOUBLES,A2,,33,0,ZERO,,,,Pacific University
216,O,1,10,M,1,Run,C-L,,1,"Rush, TD",DOUBLES,A2,,43,0,ZERO,5L,,,Pacific University
231,O,2,11,L,47,Run,P-R,,3,Rush,DOUBLES,A2,,33,2HI,C4,,,,Pacific University
232,O,3,8,L,44,Run,B-R,,5,Rush,DOUBLES,A2,,33,2HI,C4,,,,
71,O,2,10,L,15,Run,P-R,,3,Rush,DOUBLES,A2,,32,2HI,OVER,,,,Willamette University
98,O,2,8,L,30,Run,P-R,,3,Rush,DOUBLES,A2,,33,2HI,OVER,,,,Willamette University
100,O,1,10,L,15,Run,C-L,,2,Rush,DOUBLES,A2,,33,2HI,OVER,,,,Willamette University
108,O,1,10,L,-39,Pass,,1,-1,Complete,DOUBLES,A2,,32,2HI,OVER,,,,Willamette University
155,O,1,10,L,-48,Run,P-R,,2,Rush,DOUBLES,A2,,43,2HI,OVER,5L,,,Willamette University
34,O,1,10,,-17,Run,,,8,,TRIO,A2,,41,2HI,ROBBER,,,,Lewis & Clark College
110,O,2,5,,-31,Run,,,3,,TRIO,A2,,42,2HI,ROBBER,,,,Lewis & Clark College
158,O,2,6,,-43,Pass,,,8,,DOUBLES,A2,,51,2HI,C2,5I,,,Lewis & Clark College
159,O,1,10,,49,Run,,,12,,TRIO,A2,,42,2HI,ROBBER,,,,Lewis & Clark College
166,O,1,10,,13,Run,,,5,,DOUBLES,A2,,42,2HI,C2,,,,Lewis & Clark College
183,O,3,9,,-10,Run,,,5,,DOUBLES,A2,,42,2HI,C2,,,,Lewis & Clark College
26,O,2,6,,-19,Pass,,,7,,TRIO,A2,,41,2HI,ROBBER,,,,Linfield College
37,O,3,27,,46,Pass,,,7,,TRIO,A2,,42,2HI,ROBBER,,,,Linfield College
112,O,1,10,,32,Pass,,,1,,TRIO,A2,,41,2HI,C3,,,,Linfield College
138,O,3,2,,-33,Pass,,,3,,TRIO,A2,,33,2HI,C3,,,,Linfield College
182,O,1,10,,-22,Pass,,,-2,Complete,TRIO,A2,,42,2HI,C3,,,,Linfield College
184,O,3,2,,-30,Pass,,,4,,TRIO,A2,,42,2HI,C3,,,,Linfield College
187,O,1,10,,-44,Pass,,,5,,DOUBLES,A2,,42,2HI,C3,,,,Linfield College
73,O,2,10,L,22,Pass,,3,14,Complete,TRIO,A2,,34,2HI,C1,5R,,,Chapman University
91,O,1,10,L,-36,Pass,,1,6,Complete,DOUBLES,A2,,42,2HI,C2,,,,Chapman University
95,O,1,10,L,20,Run,C-R,,16,Rush,TRIO,A2,,42,2HI,24,,,,Chapman University
111,O,2,10,M,-5,Run,B-R,,3,Rush,TRIO,A2,,43,1HI,ROBBER,,,,Chapman University
143,O,1,10,R,45,Run,P-R,,2,Rush,TRIO,A2,,42,1HI,ROBBER,,,,Chapman University
148,O,3,3,L,10,Run,P-L,,6,Rush,DOUBLES,A2,,34,0,ZERO,,,,Chapman University
156,O,3,1,L,-35,Run,P-R,,3,Rush,DOUBLES,A2,,43,2HI,ZERO,,,,Chapman University
82,O,1,5,L,5,Run,B-L,,5,TD,TRIO,A2,,42,0,ZERO,,,,University of La Verne
98,O,1,10,L,-48,Run,P-L,,5,Rush,TRIO,A2,,42,1HI,,,?,,University of La Verne
156,O,1,10,L,-26,Run,P-L,,2,Rush,TRIO,A2,,42,1HI,OVER,,,,University of La Verne
175,O,1,10,M,21,Run,C-L,,8,Rush,TRIO,A2,,42,1HI,OVER,,,,University of La Verne
176,O,2,2,L,13,Run,P-L,,3,Rush,TRIO,A2,,42,1HI,OVER,,,,University of La Verne
199,O,1,10,L,48,Run,P-R,,2,Rush,DOUBLES,A2,,43,2HI,C4,,,,University of La Verne
